"","type","distinct_items","bottles_sold","mean_cost","median_cost","sd_cost","iqr_cost","q2_cost","percentile40_cost","q3_cost"
"1","AMARETTO",20,532366,11.1228927034322,6.76,8.16330189577322,8.16330189577322,6.08,6.74666666666667,11.9866666666667
"2","BRANDY",246,2232022,33.0561450405271,11.4,74.036037122963,74.036037122963,10.1428571428571,10.96,31.5066666666667
"3","CORDIALS",442,2586525,38.8345738205793,23.16,63.2764750311741,63.2764750311741,20,21,29.84
"4","GIN",251,5725081,18.4289169094198,11.4114285714286,33.9450607608226,33.9450607608226,6.72,8.02285714285714,16.52
"5","RUM",355,8261112,31.9116495707469,15.74,48.8722376528135,48.8722376528135,13.6533333333333,14.99,18.5142857142857
"6","SCHNAPPS",162,4091239,21.8279325936665,12.5657142857143,38.3255927477288,38.3255927477288,8.17333333333333,11.43,16.64
"7","TEQUILA",324,3663902,44.2761876400421,20.9866666666667,77.3590687046043,77.3590687046043,15.3333333333333,19.9333333333333,41.52
"8","VODKA",918,23345723,25.8844488559349,13,45.1575515014221,45.1575515014221,6.68,10.76,21.9866666666667
"9","WHISKY",648,19009084,33.4216182580841,14.86,62.5751065996845,62.5751065996845,9,11.24,27.9866666666667
"10","WHISKY BOURBON",389,3741916,37.7486121522397,19.9466666666667,77.1594412425486,77.1594412425486,10.4933333333333,16.6514285714286,33.06
"11","WHISKY SCOTCH",484,1491377,47.6241676027578,27.4666666666667,85.1341993933129,85.1341993933129,11.9942857142857,25.29,45.96
